query_source,n,v0_acc,lora_acc,delta
POVID_preference_data_for_VLLMs,448,0.3794642857142857,0.8526785714285714,0.4732142857142857
(empty),317,0.47003154574132494,0.5930599369085173,0.12302839116719239
wildvision-battle,171,0.5730994152046783,0.6783625730994152,0.10526315789473684
COCO,63,0.5873015873015873,0.8253968253968254,0.23809523809523803
LCS-558K,41,0.5365853658536586,0.7804878048780488,0.24390243902439024
coco,40,0.5,0.675,0.17500000000000004
VQAv2,35,0.6,0.7714285714285715,0.17142857142857149
OK-VQA,32,0.59375,0.9375,0.34375
GQA,26,0.4230769230769231,0.8076923076923077,0.38461538461538464
vqav2,24,0.5833333333333334,0.5416666666666666,-0.04166666666666674
TextVQA,14,0.6428571428571429,0.7857142857142857,0.1428571428571428
sharegpt4v-web-celebrity,7,0.5714285714285714,1.0,0.4285714285714286
sharegpt4v-web-landmark,5,1.0,0.8,-0.19999999999999996
Google-Landmark,4,0.75,0.5,-0.25
OCR-VQA,4,0.5,1.0,0.5
sharegpt4v-textvqa,3,0.6666666666666666,0.6666666666666666,0.0
MovieNet,2,1.0,1.0,0.0
jailbreak-typo-Illegal_Activitiy,2,0.5,1.0,0.5
LRVInstruction,1,1.0,1.0,0.0
jailbreak-Fraud,1,1.0,1.0,0.0
jailbreak-typo-EconomicHarm,1,1.0,1.0,0.0
jailbreak-typo-HateSpeech,1,1.0,1.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,1.0,1.0
jailbreak-typo-Physical_Harm,1,1.0,1.0,0.0
politics-Gov_Decision,1,1.0,1.0,0.0
sharegpt4v-wikiart,1,0.0,1.0,1.0
svit-complex_reasoning,1,1.0,1.0,0.0
