query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.7388392857142857,73.88392857142857
(empty),317,0.61198738170347,61.198738170347
wildvision-battle,171,0.631578947368421,63.1578947368421
COCO,63,0.746031746031746,74.60317460317461
LCS-558K,41,0.6585365853658537,65.85365853658537
coco,40,0.5,50.0
VQAv2,35,0.7714285714285715,77.14285714285715
OK-VQA,32,0.71875,71.875
GQA,26,0.5384615384615384,53.84615384615385
vqav2,24,0.5833333333333334,58.333333333333336
TextVQA,14,0.5714285714285714,57.14285714285714
sharegpt4v-web-celebrity,7,0.5714285714285714,57.14285714285714
sharegpt4v-web-landmark,5,0.6,60.0
Google-Landmark,4,0.25,25.0
OCR-VQA,4,1.0,100.0
sharegpt4v-textvqa,3,0.3333333333333333,33.33333333333333
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,0.0,0.0
LRVInstruction,1,1.0,100.0
jailbreak-Fraud,1,0.0,0.0
jailbreak-typo-EconomicHarm,1,1.0,100.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,1.0,100.0
svit-complex_reasoning,1,0.0,0.0
