step,epoch,idx,loss,score_chosen,score_rejected,score_gap,question_len,chosen_len,rejected_len
0,0,3,0.65625,1.21875,1.140625,0.078125,67,170,211
1,0,4,0.75,-1.015625,-0.90234375,-0.11328125,45,462,627
2,0,6,0.34765625,0.52734375,-0.349609375,0.875,43,135,218
3,0,7,0.52734375,1.5390625,1.171875,0.3671875,28,58,69
4,0,2,1.265625,-2.15625,-1.2265625,-0.9296875,26,608,531
5,0,5,1.328125,-2.84375,-1.828125,-1.015625,39,613,378
6,0,0,0.5703125,-2.9375,-3.203125,0.265625,40,531,508
7,0,1,0.703125,-0.07421875,-0.056640625,-0.017578125,95,104,155
8,1,7,0.236328125,1.875,0.5546875,1.3203125,28,58,69
9,1,1,0.439453125,0.2412109375,-0.353515625,0.59375,95,104,155
10,1,6,0.06005859375,1.046875,-1.734375,2.78125,43,135,218
11,1,3,0.007598876953125,3.15625,-1.734375,4.875,67,170,211
12,1,2,0.640625,-3.015625,-3.125,0.109375,26,608,531
13,1,0,0.21875,-4.25,-5.65625,1.40625,40,531,508
14,1,5,0.1953125,-2.65625,-4.1875,1.53125,39,613,378
15,1,4,0.0198974609375,-0.90625,-4.8125,3.90625,45,462,627
